time;type;cp;cp_target_power;cp_charging_rate;vehicle;vehicle_soc;vehicle_charge;vehicle_capacity;cp_charge_increment
23700;U;8;20,0;20,0;4,0;0,7744086982424784;28,885444444444442;37,3;0,9500000000000001
23846;A;0;17,142857142857142;17,142857142857142;3,0;0,9338317209029611;35,39222222222222;37,9;0,8111111111111111
23846;A;1;17,142857142857142;17,142857142857142;6,0;0,7238454861111112;46,32611111111112;64,0;0,8111111111111111
23846;A;2;17,142857142857142;17,142857142857142;2,0;0,944888200894393;30,51988888888889;32,3;0,8111111111111111
23846;A;4;17,142857142857142;17,142857142857142;8,0;0,87;28,101;32,3;
23846;A;5;17,142857142857142;17,142857142857142;5,0;0,8129807692307693;42,275000000000006;52,0;0,8111111111111111
23846;A;6;17,142857142857142;17,142857142857142;7,0;0,9364673116388157;35,492111111111114;37,9;0,8111111111111111
23846;A;8;17,142857142857142;17,142857142857142;4,0;0,7961543044384867;29,696555555555552;37,3;0,8111111111111111
24000;U;0;17,142857142857142;17,142857142857142;3,0;0,9531808853708591;36,12555555555556;37,9;0,7333333333333333
24000;U;1;17,142857142857142;17,142857142857142;6,0;0,7353038194444446;47,05944444444445;64,0;0,7333333333333333
24000;U;2;17,142857142857142;17,142857142857142;2,0;0,967592019263846;31,253222222222224;32,3;0,7333333333333333
24000;U;4;17,142857142857142;17,142857142857142;8,0;0,8927038183694531;28,834333333333333;32,3;0,7333333333333333
24000;U;5;17,142857142857142;17,142857142857142;5,0;0,8270833333333335;43,00833333333334;52,0;0,7333333333333333
24000;U;6;17,142857142857142;17,142857142857142;7,0;0,9558164761067137;36,22544444444445;37,9;0,7333333333333333
24000;U;8;17,142857142857142;17,142857142857142;4,0;0,8158147155198093;30,429888888888886;37,3;0,7333333333333333
24166;A;0;17,142857142857142;17,142857142857142;3,0;0,9740377769401517;36,91603174603175;37,9;0,7904761904761904
24166;A;1;17,142857142857142;17,142857142857142;6,0;0,747655009920635;47,84992063492064;64,0;0,7904761904761904
24166;A;2;0,0;0,0;2,0;0,9920649663374123;32,04369841269841;32,3;0,7904761904761904
24166;A;3;17,142857142857142;17,142857142857142;9,0;0,32;11,936;37,3;
24166;A;4;17,142857142857142;17,142857142857142;8,0;0,9171767654430194;29,624809523809525;32,3;0,7904761904761904
24166;A;5;17,142857142857142;17,142857142857142;5,0;0,8422847985347987;43,79880952380953;52,0;0,7904761904761904
24166;A;6;17,142857142857142;17,142857142857142;7,0;0,9766733676760063;37,01592063492064;37,9;0,7904761904761904
24166;A;8;17,142857142857142;17,142857142857142;4,0;0,8370071066853909;31,220365079365077;37,3;0,7904761904761904
24300;U;0;0,0;0,0;3,0;0,9908740629057253;37,55412698412699;37,9;0,638095238095238
24300;U;1;22,0;22,0;6,0;0,7576252480158732;48,48801587301588;64,0;0,638095238095238
24300;U;2;0,0;0,0;2,0;0,9920649663374123;32,04369841269841;32,3;0,0
24300;U;3;22,0;22,0;9,0;0,33710711094089113;12,574095238095238;37,3;0,638095238095238
24300;U;4;22,0;22,0;8,0;0,9369320359722838;30,262904761904764;32,3;0,638095238095238
24300;U;5;22,0;22,0;5,0;0,854555860805861;44,43690476190477;52,0;0,638095238095238
24300;U;6;0,0;0,0;7,0;0,99350965364158;37,65401587301588;37,9;0,638095238095238
24300;U;8;22,0;22,0;4,0;0,854114217626282;31,858460317460317;37,3;0,638095238095238
24485;D;0;0,0;0,0;3,0;0,9908740629057253;37,55412698412699;37,9;0,0
24485;D;1;22,0;22,0;6,0;0,7752901785714287;49,618571428571435;64,0;1,1305555555555555
24485;D;2;0,0;0,0;;;;;0,0
24485;D;3;22,0;22,0;9,0;0,3674169113579301;13,704650793650792;37,3;1,1305555555555555
24485;D;4;22,0;22,0;8,0;0,9719337559585239;31,39346031746032;32,3;1,1305555555555555
24485;D;5;22,0;22,0;5,0;0,8762973137973139;45,56746031746032;52,0;1,1305555555555555
24485;D;6;0,0;0,0;7,0;0,99350965364158;37,65401587301588;37,9;0,0
24485;D;8;22,0;22,0;4,0;0,884424018043321;32,98901587301587;37,3;1,1305555555555555
24600;U;0;0,0;0,0;3,0;0,9908740629057253;37,55412698412699;37,9;0,0
24600;U;1;22,0;22,0;6,0;0,7862710813492064;50,32134920634921;64,0;0,7027777777777778
24600;U;3;22,0;22,0;9,0;0,3862581386441976;14,40742857142857;37,3;0,7027777777777778
24600;U;4;0,0;0,0;8,0;0,9936915818959164;32,0962380952381;32,3;0,7027777777777778
24600;U;5;22,0;22,0;5,0;0,8898122710622711;46,2702380952381;52,0;0,7027777777777778
